,points,1_1_p,1_2_p,1_3_p,2_1_p,2_2_p,2_3_p,1_1_r_C,1_1_r_L,1_1_r_O,1_1_r_S,1_1_r_W,1_2_r_C,1_2_r_L,1_2_r_O,1_2_r_S,1_2_r_W,1_3_r_2L,1_3_r_2S,1_3_r_2W,1_3_r_3G,1_3_r_C,1_3_r_D,1_3_r_L,1_3_r_O,1_3_r_S,1_3_r_W,2_1_r_C,2_1_r_L,2_1_r_O,2_1_r_S,2_1_r_W,2_2_r_2O,2_2_r_C,2_2_r_L,2_2_r_O,2_2_r_S,2_2_r_W,2_3_r_2C,2_3_r_2L,2_3_r_2O,2_3_r_2S,2_3_r_2W,2_3_r_3G,2_3_r_B,2_3_r_C,2_3_r_D,2_3_r_L,2_3_r_O,2_3_r_S,2_3_r_W
75,8,0.0833,0.1389,0.0833,0.1111,0.1389,0.0556,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
76,6,0.0833,0.1389,0.0833,0.0556,0.0833,0.0556,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
77,10,0.1389,0.1111,0.0556,0.1111,0.1389,0.0556,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
78,7,0.1389,0.0833,0.0556,0.1111,0.0833,0.0278,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
79,6,0.1111,0.1389,0.0833,0.1111,0.1111,0.0833,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
80,8,0.1111,0.1111,0.0833,0.0556,0.1111,0.0556,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
81,7,0.1389,0.0833,0.0556,0.1389,0.0278,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
82,10,0.1111,0.1111,0.0833,0.1111,0.1389,0.0556,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
83,6,0.1389,0.0833,0.0556,0.1389,0.0833,0.0556,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
84,9,0.1389,0.0833,0.0,0.1111,0.1111,0.0833,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
85,10,0.1111,0.1389,0.0833,0.1389,0.0556,0.0278,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
86,4,0.1111,0.1389,0.0556,0.1389,0.0833,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
87,6,0.1389,0.0833,0.0556,0.1389,0.1111,0.0833,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
88,4,0.1111,0.1389,0.0556,0.1111,0.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
89,7,0.1111,0.1389,0.0833,0.0833,0.1111,0.0556,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
90,10,0.1111,0.1111,0.0833,0.1389,0.0833,0.0556,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
91,6,0.1389,0.1111,0.0556,0.0556,0.0833,0.0556,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
92,10,0.1389,0.0833,0.0556,0.0556,0.1111,0.0556,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
93,7,0.1111,0.0833,0.0278,0.1389,0.0833,0.0556,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
94,9,0.1389,0.0833,0.0556,0.1111,0.1389,0.0833,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
95,6,0.0833,0.1111,0.0556,0.1111,0.1111,0.0833,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
96,7,0.1111,0.1389,0.0833,0.0833,0.1111,0.0278,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
97,7,0.1389,0.0833,0.0556,0.1389,0.0833,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
